ccp_alpha,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_w,depth,n_leaves
0.0024278392230914505,0.9151335311572699,0.026045232353105897,0.9289099526066351,0.928935510928503,8,35
0.002571711177052422,0.9127596439169139,0.026646818184740243,0.9289099526066351,0.9286339167880463,8,34
0.002773207224245802,0.9103857566765579,0.022316434037938464,0.9289099526066351,0.9286339167880463,8,32
0.003133856471090558,0.9050445103857566,0.023365008528224946,0.9265402843601895,0.9260863066792924,8,31
0.003930389998442181,0.9020771513353114,0.02468443245470078,0.9265402843601895,0.9262775815015939,8,30
0.004272997032640949,0.8991097922848665,0.02706647893410414,0.9241706161137441,0.9239692918814758,8,29
0.004285491176011245,0.8991097922848665,0.02706647893410414,0.9241706161137441,0.9239692918814758,8,28
0.004394433028007395,0.8973293768545993,0.02465587902414359,0.9218009478672986,0.9216932532911687,8,27
0.0044676669324982595,0.8955489614243323,0.02623387074813095,0.9241706161137441,0.9240517251431661,8,26
0.004779625378695973,0.8955489614243323,0.02623387074813095,0.919431279620853,0.9187645875837702,8,25
0.005374839034768489,0.8943620178041541,0.02604523235310584,0.9170616113744076,0.9164061157317728,8,24
0.007217103094035782,0.8830860534124628,0.024512612970995138,0.909952606635071,0.909151135488743,8,23
0.008397526201680503,0.8724035608308605,0.017902793031452084,0.9004739336492891,0.8986234149406784,8,22
0.009342005940862895,0.8735905044510386,0.018059494426947136,0.8744075829383886,0.8724482956219614,8,20
0.009971504517307142,0.8676557863501483,0.017464615987610874,0.8720379146919431,0.8697402489420449,8,19
0.010510260154177067,0.8676557863501483,0.017464615987610874,0.8578199052132701,0.853026326580845,8,17
0.013744468307582273,0.8516320474777448,0.006766619733526022,0.8459715639810427,0.8403342172843722,6,15
0.019709986590665377,0.8219584569732937,0.019593559666728984,0.8436018957345972,0.8375408162562458,6,14
0.019901290798867714,0.8160237388724034,0.013791038621510094,0.8175355450236966,0.8040493778434528,6,13
0.021420569564277445,0.7875370919881306,0.016317776955332368,0.8009478672985783,0.7846437260403875,6,12
0.023922500862261872,0.7667655786350148,0.02723511906370032,0.7654028436018957,0.7624467674624751,4,10
0.02797735954056229,0.7038575667655786,0.026367786221392363,0.7132701421800948,0.6667494150336891,4,8
0.02911504864127724,0.6902077151335312,0.01726176803827774,0.6848341232227488,0.6338942397174708,4,6
0.040185931458400825,0.6409495548961425,0.03320261301056227,0.6279620853080569,0.5301353147083183,3,5
0.04272517546911481,0.5839762611275965,0.021348493470154235,0.5450236966824644,0.4286796178742098,2,4
0.09122039588475722,0.5026706231454006,0.06410045036342858,0.4312796208530806,0.3214573712345517,2,3
