dimensions,num_walks,walk_length,run,accuracy,average_accuracy
128,20,40,2.0,0.8128772635814889,
128,20,40,3.0,0.8088531187122736,
128,20,40,4.0,0.795774647887324,
128,20,40,5.0,0.8088531187122736,
128,20,40,6.0,0.8128772635814889,
128,20,40,7.0,0.7977867203219315,
128,20,40,8.0,0.8018108651911469,
128,20,40,9.0,0.8118712273641852,
128,20,40,10.0,0.8128772635814889,
128,20,40,,,0.806841046277666
128,20,60,1.0,0.7987927565392354,
128,20,60,2.0,0.7907444668008048,
128,20,60,3.0,0.795774647887324,
128,20,60,4.0,0.7877263581488934,
128,20,60,5.0,0.7847082494969819,
128,20,60,6.0,0.7937625754527163,
128,20,60,7.0,0.7816901408450704,
128,20,60,8.0,0.7987927565392354,
128,20,60,9.0,0.8098591549295775,
128,20,60,10.0,0.7857142857142857,
128,20,60,,,0.7927565392354124
128,20,80,1.0,0.7756539235412475,
128,20,80,2.0,0.7665995975855131,
128,20,80,3.0,0.8008048289738431,
128,20,80,4.0,0.7877263581488934,
128,20,80,5.0,0.7655935613682092,
128,20,80,6.0,0.795774647887324,
128,20,80,7.0,0.7796780684104627,
128,20,80,8.0,0.7746478873239436,
128,20,80,9.0,0.7826961770623743,
128,20,80,10.0,0.7756539235412475,
128,20,80,,,0.7804828973843058
128,20,100,1.0,0.7605633802816901,
128,20,100,2.0,0.7665995975855131,
128,20,100,3.0,0.7635814889336016,
128,20,100,4.0,0.755533199195171,
128,20,100,5.0,0.7645875251509054,
128,20,100,6.0,0.7736418511066399,
128,20,100,7.0,0.7635814889336016,
128,20,100,8.0,0.7665995975855131,
128,20,100,9.0,0.7665995975855131,
128,20,100,10.0,0.7696177062374245,
128,20,100,,,0.7650905432595574
128,20,20,1.0,0.8279678068410463,
128,20,20,2.0,0.8209255533199196,
128,20,20,3.0,0.8219315895372233,
128,20,20,4.0,0.8118712273641852,
128,20,20,5.0,0.8199195171026157,
128,20,20,6.0,0.829979879275654,
128,20,20,7.0,0.8249496981891348,
128,20,20,8.0,0.8098591549295775,
128,20,20,9.0,0.8340040241448692,
128,20,20,10.0,0.8088531187122736,
128,20,20,,,0.8210261569416499
