film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,class
1494,455,3120000,39,0,5,6.09,80000.0,39,640.3940886699507,2018-06-03,6,2,3,baja
1558,88,1200000,10,0,7,0.91,120000.0,10,1098.901098901099,2018-08-11,8,3,11,baja
1499,352,3450000,23,0,3,7.37,150000.0,23,312.0759837177748,2018-07-04,7,3,4,baja
1481,231,700000,28,0,1,5.38,25000.0,28,520.446096654275,2018-06-02,6,2,2,baja
1556,61,600000,12,0,7,0.54,50000.0,12,2222.222222222222,2018-09-25,9,3,25,baja
1511,417,1255000,15,0,3,1.59,83666.66666666667,15,943.3962264150942,2018-07-02,7,3,2,baja
1482,285,500000,5,0,3,2.78,100000.0,5,179.8561151079137,2018-04-22,4,2,22,baja
1484,231,750000,15,0,6,0.48,50000.0,15,3125.0,2018-06-23,6,2,23,baja
1578,562,3960000,66,0,2,17.01,60000.0,66,388.0070546737213,2018-10-25,10,4,25,baja
1565,448,9840000,123,0,3,21.58,80000.0,123,569.9721964782207,2018-08-28,8,3,28,baja
1497,381,2550000,85,0,4,12.5,30000.0,85,680.0,2018-06-19,6,2,19,baja
1483,62,2700000,46,0,12,2.71,58695.65217391304,46,1697.4169741697417,2018-03-16,3,1,16,baja
1483,472,3500000,50,0,2,8.68,70000.0,50,576.0368663594471,2018-04-12,4,2,12,baja
1556,328,6790000,133,0,5,2.98,51052.63157894737,133,4463.087248322147,2018-10-03,10,4,3,baja
1495,450,8980000,79,0,5,6.37,113670.88607594935,79,1240.1883830455258,2018-05-26,5,2,26,baja
1481,164,1330000,38,0,3,28.79,35000.0,38,131.9902744008336,2018-05-17,5,2,17,baja
1486,310,900000,15,0,2,1.67,60000.0,15,898.2035928143713,2018-05-21,5,2,21,baja
1559,277,400000,4,0,1,1.1,100000.0,4,363.6363636363636,2018-09-26,9,3,26,baja
1554,51,53000000,581,0,15,13.26,91222.03098106712,581,4381.5987933635,2018-07-14,7,3,14,baja
1551,292,600000,10,0,2,2.75,60000.0,10,363.6363636363636,2018-08-05,8,3,5,baja
1492,253,560000,16,0,3,5.61,35000.0,16,285.204991087344,2018-06-26,6,2,26,baja
1556,516,400000,5,0,1,4.27,80000.0,5,117.09601873536302,2018-10-06,10,4,6,baja
1554,250,23440000,293,0,8,7.75,80000.0,293,3780.6451612903215,2018-08-20,8,3,20,baja
1512,344,3600000,24,0,3,26.67,150000.0,24,89.98875140607423,2018-07-22,7,3,22,baja
1572,402,750000,15,0,1,6.25,50000.0,15,240.0,2018-11-03,11,4,3,baja
1485,463,6060000,101,0,2,16.29,60000.0,101,620.012277470841,2018-03-22,3,1,22,baja
1493,492,960000,18,0,1,8.65,53333.333333333336,18,208.09248554913293,2018-07-24,7,3,24,baja
1556,237,660000,11,0,2,1.62,60000.0,11,679.0123456790124,2018-09-06,9,3,6,baja
1554,528,5830000,123,5,3,22.04,47398.37398373984,118,558.0762250453721,2018-10-09,10,4,9,baja
1494,492,3120000,58,0,1,27.88,53793.10344827586,58,208.03443328550927,2018-05-14,5,2,14,baja
1496,489,7620000,69,0,10,12.59,110434.78260869563,69,548.0540111199365,2018-06-13,6,2,13,baja
1498,43,1240000,17,0,3,2.18,72941.17647058824,17,779.8165137614678,2018-07-11,7,3,11,baja
1482,324,700000,10,0,2,2.43,70000.0,10,411.522633744856,2018-05-16,5,2,16,baja
1573,196,5100000,51,0,3,4.17,100000.0,51,1223.021582733813,2018-10-22,10,4,22,baja
1482,528,2060000,28,0,3,3.5,73571.42857142857,28,800.0,2018-04-29,4,2,29,baja
1559,503,600000,4,0,1,25.0,150000.0,4,16.0,2018-09-26,9,3,26,baja
1484,141,17850000,119,0,6,10.33,150000.0,119,1151.9845111326233,2018-05-14,5,2,14,baja
1498,291,1200000,20,0,7,1.68,60000.0,20,1190.4761904761906,2018-06-28,6,2,28,baja
1493,306,8100000,151,0,4,8.92,53642.38410596026,151,1692.8251121076232,2018-06-10,6,2,10,baja
1493,162,1080000,18,0,1,1.86,60000.0,18,967.741935483871,2018-05-30,5,2,30,baja
1499,365,2415000,69,0,6,3.7,35000.0,69,1864.864864864865,2018-07-24,7,3,24,baja
1482,471,5040000,64,0,3,6.1,78750.0,64,1049.1803278688526,2018-05-08,5,2,8,baja
1502,537,200000,4,0,1,1.7,50000.0,4,235.29411764705884,2018-06-09,6,2,9,baja
1498,194,450000,9,0,1,3.42,50000.0,9,263.15789473684214,2018-08-19,8,3,19,baja
1493,51,11700000,136,0,4,5.85,86029.41176470589,136,2324.786324786325,2018-04-21,4,2,21,baja
1551,314,1750000,25,0,4,2.59,70000.0,25,965.2509652509654,2018-06-23,6,2,23,baja
1567,210,1000000,10,0,3,13.89,100000.0,10,71.99424046076314,2018-09-15,9,3,15,baja
1556,51,11040000,99,0,3,5.68,111515.15151515152,99,1742.957746478873,2018-08-31,8,3,31,baja
1572,61,800000,16,0,7,2.29,50000.0,16,698.6899563318777,2018-10-20,10,4,20,baja
1493,222,4400000,55,0,4,11.46,80000.0,55,479.9301919720768,2018-07-19,7,3,19,baja
1497,490,1050000,30,0,4,1.49,35000.0,30,2013.4228187919464,2018-06-26,6,2,26,baja
1483,254,2380000,34,0,6,2.29,70000.0,34,1484.7161572052405,2018-05-19,5,2,19,baja
1512,456,1280000,16,0,2,8.21,80000.0,16,194.884287454324,2018-06-30,6,2,30,baja
1511,489,29450000,208,0,15,25.62,141586.53846153847,208,811.8657298985167,2018-06-28,6,2,28,baja
1481,451,4750000,95,0,4,20.65,50000.0,95,460.0484261501211,2018-05-03,5,2,3,baja
1493,292,900000,15,0,2,4.12,60000.0,15,364.0776699029126,2018-06-16,6,2,16,baja
1562,448,64110000,433,0,7,27.61,148060.04618937644,433,1568.2723650851142,2018-08-22,8,3,22,baja
1553,141,23400000,162,0,4,30.57,144444.44444444444,162,529.9313052011776,2018-10-05,10,4,5,baja
1499,89,15870000,117,0,10,7.66,135641.02564102566,117,1527.4151436031332,2018-07-04,7,3,4,baja
1554,467,10400000,208,0,3,17.33,50000.0,208,1200.2308136180036,2018-07-24,7,3,24,baja
1569,499,480000,4,0,1,1.76,120000.0,4,227.27272727272728,2018-11-02,11,4,2,baja
1556,225,2100000,30,0,4,3.3,70000.0,30,909.0909090909092,2018-08-24,8,3,24,baja
1576,496,350000,7,0,2,3.26,50000.0,7,214.7239263803681,2018-10-14,10,4,14,baja
1497,475,4550000,85,0,6,9.77,53529.41176470588,85,870.0102354145343,2018-05-23,5,2,23,baja
1572,266,16560000,207,0,5,26.1,80000.0,207,793.103448275862,2018-10-09,10,4,9,baja
1575,524,28980000,203,0,7,22.14,142758.62068965516,203,916.892502258356,2018-10-15,10,4,15,baja
1494,300,1680000,42,0,2,6.46,40000.0,42,650.15479876161,2018-05-29,5,2,29,baja
1552,359,1410000,30,0,2,7.14,47000.0,30,420.1680672268908,2018-07-13,7,3,13,baja
1559,524,11680000,146,2,6,18.58,80000.0,144,785.7911733046287,2018-09-15,9,3,15,baja
1498,71,32400000,222,2,6,15.48,145945.94594594595,220,1434.108527131783,2018-08-02,8,3,2,baja
1483,428,560000,8,0,1,5.33,70000.0,8,150.093808630394,2018-04-16,4,2,16,baja
1493,35,8050000,128,0,3,25.86,62890.625,128,494.97293116782674,2018-06-13,6,2,13,baja
1558,475,1120000,16,0,4,2.76,70000.0,16,579.7101449275364,2018-08-26,8,3,26,baja
1553,34,20280000,169,0,3,29.65,120000.0,169,569.9831365935919,2018-10-11,10,4,11,baja
1550,445,3660000,61,0,4,15.44,60000.0,61,395.0777202072539,2018-06-19,6,2,19,baja
1484,429,7400000,74,0,3,12.03,100000.0,74,615.1288445552785,2018-04-07,4,2,7,baja
1493,195,21920000,274,0,8,10.07,80000.0,274,2720.9533267130087,2018-05-12,5,2,12,baja
1481,344,6160000,71,0,3,12.59,86760.56338028169,71,563.9396346306593,2018-05-23,5,2,23,baja
1484,486,450000,11,0,1,3.93,40909.09090909091,11,279.8982188295165,2018-06-24,6,2,24,baja
